sensor_3,1603439651297,28.61
sensor_4,1603439651297,43.68
sensor_2,1603439651297,32.82
sensor_8,1603439651297,35.31
sensor_6,1603439651297,32.70
sensor_3,1603439651297,35.64
sensor_4,1603439651297,24.65
sensor_2,1603439651297,34.45
sensor_8,1603439651297,30.93
sensor_6,1603439651297,29.87
sensor_3,1603439651297,27.05
sensor_4,1603439651297,16.24
sensor_2,1603439651297,22.18
sensor_8,1603439651297,31.16
sensor_6,1603439651297,23.81
sensor_3,1603439651297,32.75
sensor_4,1603439651297,28.78
sensor_2,1603439651297,22.80
sensor_8,1603439651297,31.88
sensor_6,1603439651297,25.73
sensor_3,1603439651297,21.17
sensor_4,1603439651297,27.94
sensor_2,1603439651297,28.72
sensor_8,1603439651297,35.91
sensor_6,1603439651297,25.42
sensor_3,1603439651297,24.08
sensor_4,1603439651297,33.19
sensor_2,1603439651297,25.32
sensor_8,1603439651297,34.40
